127.0.0.1 - - [14/Jul/2020:14:03:08 +0700] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/Home;jsessionid=2FB5994C5D10F4D1B82F2EAF48642803 HTTP/1.1" 200 12649
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/lib/adminlte/css/adminlte.min.css HTTP/1.1" 200 205631
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/lib/bootstrap-notify/Animated.css HTTP/1.1" 200 81379
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/lib/pace/pace.css HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/lib/iCheck/all.css HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/lib/jquery/jquery.min.js HTTP/1.1" 200 86929
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/css/splus.css HTTP/1.1" 200 3700
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/lib/datatables/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 5223
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/lib/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 70814
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/lib/font-awesome-5/css/fontawesome.min.css HTTP/1.1" 200 53688
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/lib/font-awesome/css/fontawesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/js/pace.js HTTP/1.1" 200 32142
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/lib/moment/moment.js HTTP/1.1" 200 155543
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/lib/adminlte/js/adminlte.js HTTP/1.1" 200 20540
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/lib/datatables/js/jquery.dataTables.min.js HTTP/1.1" 200 82567
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/js/common.js HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/lib/bootstrap-notify/bootstrap-notify.min.js HTTP/1.1" 200 8123
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/lib/datatables/js/dataTables.bootstrap4.min.js HTTP/1.1" 200 2093
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/lib/iCheck/minimal/_all.css HTTP/1.1" 200 14732
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/img/heritage.jpg HTTP/1.1" 200 226802
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/lib/iCheck/square/_all.css HTTP/1.1" 200 16210
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/img/avery-logo.png HTTP/1.1" 200 17022
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/lib/iCheck/flat/_all.css HTTP/1.1" 200 14332
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/img/avatar/avatar8.png HTTP/1.1" 200 8229
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/lib/iCheck/futurico/futurico.css HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/lib/iCheck/line/_all.css HTTP/1.1" 200 22428
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:10 +0700] "GET /Website/views/public/lib/iCheck/polaris/polaris.css HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:11 +0700] "GET /Website/views/public/img/ducfavicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:03:11 +0700] "GET /Website/views/public/lib/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/Home;jsessionid=20FEC43B7556AE3513796DF9C81C1F2D HTTP/1.1" 200 12649
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/lib/font-awesome/css/fontawesome.min.css HTTP/1.1" 200 31004
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/lib/adminlte/css/adminlte.min.css HTTP/1.1" 200 205631
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/lib/font-awesome-5/css/fontawesome.min.css HTTP/1.1" 200 53688
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/css/splus.css HTTP/1.1" 200 3700
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/lib/bootstrap-notify/Animated.css HTTP/1.1" 200 81379
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/lib/pace/pace.css HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/lib/iCheck/all.css HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/lib/datatables/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 5223
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/lib/jquery/jquery.min.js HTTP/1.1" 200 86929
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/lib/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 70814
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/lib/adminlte/js/adminlte.js HTTP/1.1" 200 20540
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/js/pace.js HTTP/1.1" 200 32142
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/js/common.js HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/lib/datatables/js/jquery.dataTables.min.js HTTP/1.1" 200 82567
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/lib/datatables/js/dataTables.bootstrap4.min.js HTTP/1.1" 200 2093
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/lib/bootstrap-notify/bootstrap-notify.min.js HTTP/1.1" 200 8123
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/lib/moment/moment.js HTTP/1.1" 200 155543
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/img/avery-logo.png HTTP/1.1" 200 17022
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/img/avatar/avatar8.png HTTP/1.1" 200 8229
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/img/heritage.jpg HTTP/1.1" 200 226802
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/lib/iCheck/minimal/_all.css HTTP/1.1" 200 14732
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/lib/iCheck/square/_all.css HTTP/1.1" 200 16210
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/lib/iCheck/flat/_all.css HTTP/1.1" 200 14332
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/lib/iCheck/polaris/polaris.css HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/lib/iCheck/line/_all.css HTTP/1.1" 200 22428
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/lib/iCheck/futurico/futurico.css HTTP/1.1" 200 1476
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:14 +0700] "GET /Website/views/public/lib/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:05:15 +0700] "GET /Website/views/public/img/ducfavicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:14:22 +0700] "GET /Website/GoPageGoodsReceiptServlet HTTP/1.1" 200 17667
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:14:56 +0700] "GET /Website/views/public/lib/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 293699
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:14:56 +0700] "GET /Website/views/public/lib/adminlte/js/adminlte.js.map HTTP/1.1" 200 31636
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:15:45 +0700] "GET /Website/GoPageGoodsReceiptServlet HTTP/1.1" 200 17667
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:15:45 +0700] "GET /Website/views/public/img/ducfavicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:18:00 +0700] "GET /Website/GoPageGoodsReceiptServlet HTTP/1.1" 200 17667
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:18:01 +0700] "GET /Website/views/public/img/ducfavicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:18:52 +0700] "GET /Website/GoPageGoodsReceiptServlet HTTP/1.1" 200 17667
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:18:52 +0700] "GET /Website/views/public/img/ducfavicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:20:44 +0700] "GET /Website/GoPageGoodsReceiptServlet HTTP/1.1" 200 17667
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:20:44 +0700] "GET /Website/views/public/img/ducfavicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:23:27 +0700] "GET /Website/GoPageGoodsReceiptServlet HTTP/1.1" 200 17946
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:23:27 +0700] "GET /Website/views/public/img/ducfavicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:23:53 +0700] "GET /Website/GoPageGoodsReceiptServlet HTTP/1.1" 200 17974
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:23:53 +0700] "GET /Website/views/public/img/ducfavicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:25:45 +0700] "GET /Website/GoPageGoodsReceiptServlet HTTP/1.1" 200 16923
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:25:45 +0700] "GET /Website/views/public/img/ducfavicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:33:32 +0700] "GET /Website/GoPageGoodsReceiptServlet HTTP/1.1" 200 16955
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:33:32 +0700] "GET /Website/views/public/img/ducfavicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:37:14 +0700] "GET /Website/ListUserServlet HTTP/1.1" 200 19984
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:37:26 +0700] "GET /Website/GoPageEditUserServlet?id=1 HTTP/1.1" 200 20337
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:37:30 +0700] "GET /Website/GoPageEditUserServlet?id=1 HTTP/1.1" 200 20337
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:37:50 +0700] "GET /Website/GoPageEditUserServlet?id=1 HTTP/1.1" 200 20337
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:37:51 +0700] "GET /Website/ListUserServlet HTTP/1.1" 200 19984
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:44:06 +0700] "GET /Website/GoPageEditUserServlet?id=1 HTTP/1.1" 200 20337
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:44:10 +0700] "POST /Website/EditUserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:44:10 +0700] "GET /Website/ListUserServlet HTTP/1.1" 200 19994
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:44:16 +0700] "GET /Website/GoPageEditUserServlet?id=1 HTTP/1.1" 200 20347
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:44:22 +0700] "GET /Website/GoPageEditUserServlet?id=1 HTTP/1.1" 200 20347
0:0:0:0:0:0:0:1 - - [14/Jul/2020:14:44:23 +0700] "GET /Website/ListUserServlet HTTP/1.1" 200 19994
